,E->  E  B  E  Ab  B  E,STD->   E  A  D  G  B  E,,G->  x  G  D  G  B  D
Song,Key,Tuning,Capo,Capo then tune:
19th Nervous Breakdown,E maj,STD,,
Ain't Too Proud To Beg,B maj,"STD,G,E",4,
All Down The Line,G maj,G,,
Angie,A min,STD,,
Around and Around,A maj,STD,,
Beast of Burden,E maj,STD,,
Before They Make Me Run,G maj,G,,
Bitch,A maj,STD,,
Brown Sugar,C maj,G,,
Can't You Hear Me Knockin,D maj,G,,
Carol,A maj,STD,,
Casino Boogie,A maj,G,2,
Dancing with Mr. D,A min,STD,,
Dead Flowers,D maj,"STD,E",,
Doo Doo Doo (Heartbreaker),E maj,STD,,
Emotional Rescue,Bb maj,STD,,
Far Away Eyes,F maj,STD,,
Get Off My Cloud,E maj,"STD,E",,
Gimme Shelter,C# maj,E,,
Hand of Fate,C maj,G,,
Hang Fire,A maj,STD,,
Happy,B maj ,G,4,x - B - Gb - B - Eb - Gb
Heart Of Stone,C maj,STD,,
Honky Tonk Women,G maj,G,,
I Got the Blues,G maj,STD,,
If You Can't Rock Me,C maj,G,,
It's All Over Now,G maj,"STD,E",,
It's Only Rock and Roll,E maj,STD,,
Jumpin Jack Flash,B maj,E,,
Just My Imagination,A maj,"G,E",2,A - E - A - C# - E
Let It Bleed,C maj,STD,5,
Let It Loose,F maj,STD,3,
Let's Spend the Night Together,D maj,STD,,
Lies,A maj,G,2,A - E - A - C# - E
Little Queenie,A maj,STD,,
Little Red Rooster,G maj,G,,
Live With Me,A maj,"STD,E",,
Love In Vain,G maj,STD,,
Loving Cup,G maj,STD,,
Midnight Rambler,B maj,STD,7,B - E - A - D - F# - B
Miss You,A min,STD,,
Monkey Man,E maj,STD,2,F# - B - E - A - C# - F#
Moonlight Mile,G maj,G,,
Mother's Little Helper,E min,STD,,
Not Fade Away,E maj,"STD,E",,
Out of Time,G maj,STD,,
Paint It Black,E min,STD,2,F# - B - E - A - C# - F#
Respectable,A maj,"STD,E",,
Rip This Joint,D maj,G ,2,
Rocks Off,E maj,STD,,
Ruby Tuesday,A min,STD,,
Satisfaction,E maj,E,,
Shake Your Hips,A maj,STD,,
Shattered,E maj,STD,,
She's a Rainbow,F maj,STD,10,D - G - C - F - A - D
She's So Cold,G maj,"STD,G",,
Shine A Light,C maj ,STD,,
Sister Morphine,A min,STD,,
Some Girls,A maj,STD,,
Star Star,E maj,STD,,
Start Me Up,F maj,G ,,
Stop Breaking Down,A maj,"G,E",2,A - E - A - C# - E
Stray Cat Blues,G maj,STD,,
Street Fighting Man,B maj,"G,E",4,B - Gb - B - Eb - Gb
Sway,F maj,G ,,
Sweet Virginia ,A maj,STD,,
Sympathy for the Devil,E maj,STD,,
The Last Time,E maj,STD,,
Time Is On My Side,F maj,STD,,
Time Waits for No One,A min,STD,,
Torn and Frayed,D maj,"STD,E",,
Tumblin Dice,B maj,G,4,x - B - Gb - B - Eb - Gb
Under My Thumb,F# min,STD,,
Ventilator Blues,G maj,G,,
Waiting On A Friend,C maj,STD,,
When the Whip Comes Down,A maj,G ,2,A - E - A - C# - E
Wild Horses,B min,STD,,
You Can't Always Get What,C maj,G,5,x - C - G - C - E - G
You Got The Silver,E maj,E,,
You Gotta Move,E maj,E,,